"kid","alias"
1,"ap2 associated kinase 1"
1,"aak1"
1,"dkfzp686f03202"
1,"dkfzp686k16132"
1,"flj23712"
1,"flj25931"
1,"flj31060"
1,"flj42882"
1,"flj45252"
1,"kiaa1048"
1,"mgc138170"
1,"mgc164568"
1,"mgc164570"
1,"ap2 associated protein kinase 1"
1,"otthump00000202200"
1,"otthump00000202201"
1,"adaptor associated kinase 1"
2,"aurora kinase a"
2,"aurka"
2,"rp5 1167h4.6"
2,"aik"
2,"ark1"
2,"aura"
2,"aurora2"
2,"btak"
2,"mgc34538"
2,"stk15"
2,"stk6"
2,"stk7"
2,"ark 1"
2,"ipl1 related kinase"
2,"otthump00000031340"
2,"otthump00000031341"
2,"otthump00000031342"
2,"otthump00000031343"
2,"otthump00000031344"
2,"otthump00000031345"
2,"otthump00000166071"
2,"otthump00000166072"
2,"aurora related kinase 1"
2,"aurora/ipl1 like kinase"
2,"aurora/ipl1 related kinase 1"
2,"breast tumor amplified kinase"
2,"breast tumor amplified kinase"
2,"hark1"
2,"serine/threonine kinase 6"
2,"serine/threonine protein kinase 15"
2,"serine/threonine protein kinase 15"
2,"serine/threonine protein kinase 6"
2,"serine/threonine protein kinase aurora a"
3,"aurora kinase b"
3,"aurkb"
3,"aik2"
3,"aim 1"
3,"aim1"
3,"ark2"
3,"aurb"
3,"ipl1"
3,"stk12"
3,"stk5"
3,"aurkb sv1"
3,"aurkb sv2"
3,"ark 2"
3,"otthump00000135331"
3,"stk 1"
3,"aurora kinase b sv1"
3,"aurora kinase b sv2"
3,"aurora and ipl1 like midbody associated protein 1"
3,"aurora 1"
3,"aurora b"
3,"aurora related kinase 2"
3,"aurora/ipl1 related kinase 2"
3,"serine/threonine kinase 12"
3,"serine/threonine protein kinase 12"
3,"serine/threonine protein kinase aurora b"
4,"aurora kinase c"
4,"aurkc"
4,"aie2"
4,"aik3"
4,"ark3"
4,"aurc"
4,"stk13"
4,"aurora c"
4,"ark 3"
4,"aurora related kinase 3"
4,"aurora/ipl1 related kinase 3"
4,"aurora/ipl1/eg2 protein 2"
4,"serine/threonine kinase 13 (aurora/ipl1 like)"
4,"serine/threonine protein kinase 13"
4,"serine/threonine protein kinase aurora c"
5,"bmp2 inducible kinase"
5,"bmp2k"
5,"hrihfb2017"
5,"bike"
5,"dkfzp434k0614"
5,"dkfzp434p0116"
5,"bmp 2 inducible protein kinase"
5,"otthump00000219234"
6,"budding uninhibited by benzimidazoles 1 homolog (yeast)"
6,"bub1"
6,"bub1a"
6,"bub1l"
6,"hbub1"
6,"bub1 budding uninhibited by benzimidazoles 1 homolog"
6,"otthump00000204238"
6,"otthump00000204239"
6,"mitotic checkpoint serine/threonine protein kinase bub1"
6,"mitotic spindle checkpoint kinase"
6,"putative serine/threonine protein kinase"
7,"budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
7,"bub1b"
7,"bub1beta"
7,"bubr1"
7,"bub1a"
7,"mad3l"
7,"ssk1"
7,"hbubr1"
7,"mad3/bub1 related protein kinase"
7,"otthump00000160319"
7,"mitotic checkpoint kinase mad3l"
7,"mitotic checkpoint serine/threonine protein kinase bub1 beta"
8,"chromosome 9 open reading frame 96"
8,"c9orf96"
8,"mgc43306"
8,"rp11 244n20.8"
8,"sgk071"
8,"sk521"
8,"otthump00000022465"
8,"protein kinase like protein sgk071"
8,"sugen kinase 071"
9,"calcium/calmodulin dependent protein kinase kinase 1, alpha"
9,"camkk1"
9,"camkka"
9,"dkfzp761m0423"
9,"mgc34095"
9,"camkk alpha protein"
9,"otthump00000115903"
9,"otthump00000115904"
9,"otthump00000115905"
9,"cam kk 1"
9,"cam kk alpha"
9,"cam kinase iv kinase"
9,"cam kinase kinase 1"
9,"cam kinase kinase alpha"
9,"camkk 1"
9,"calcium/calmodulin dependent protein kinase kinase 1"
9,"calcium/calmodulin dependent protein kinase kinase alpha"
10,"calcium/calmodulin dependent protein kinase kinase 2, beta"
10,"camkk2"
10,"camkk"
10,"camkkb"
10,"kiaa0787"
10,"mgc15254"
10,"camkk beta protein"
10,"otthump00000240235"
10,"otthump00000240236"
10,"otthump00000240237"
10,"otthump00000240238"
10,"otthump00000240239"
10,"otthump00000240241"
10,"otthump00000240242"
10,"otthump00000240244"
10,"otthump00000240245"
10,"cam kk 2"
10,"cam kk beta"
10,"cam kinase kinase 2"
10,"cam kinase kinase beta"
10,"calcium/calmodulin dependent protein kinase beta"
10,"calcium/calmodulin dependent protein kinase kinase 2"
11,"cell division cycle 7 homolog (s. cerevisiae)"
11,"cdc7"
11,"cdc7l1"
11,"hscdc7"
11,"hsk1"
11,"mgc117361"
11,"mgc126237"
11,"mgc126238"
11,"hucdc7"
11,"cdc7 (cell division cycle 7, s. cerevisiae, homolog) like 1"
11,"cdc7 related kinase"
11,"otthump00000011788"
11,"cell division cycle 7 like protein 1"
11,"cell division cycle 7 related protein kinase"
12,"conserved helix loop helix ubiquitous kinase"
12,"chuk"
12,"ikbka"
12,"ikk alpha"
12,"ikk1"
12,"ikka"
12,"nfkbika"
12,"tcf16"
12,"i kappa b kinase 1"
12,"i kappa b kinase alpha"
12,"ikk a kinase"
12,"ikb kinase alpha subunit"
12,"nuclear factor nfkappab inhibitor kinase alpha"
12,"otthump00000020273"
12,"tcf 16"
12,"inhibitor of nuclear factor kappa b kinase subunit alpha"
12,"transcription factor 16"
13,"casein kinase 2, alpha 1 polypeptide"
13,"csnk2a1"
13,"ck2a1"
13,"ckii"
13,"ck ii alpha"
13,"ck2 catalytic subunit alpha"
13,"otthump00000029925"
13,"otthump00000029926"
13,"casein kinase ii alpha 1 subunit"
13,"casein kinase ii subunit alpha"
13,"protein kinase ck2"
14,"casein kinase 2, alpha prime polypeptide"
14,"csnk2a2"
14,"ck2a2"
14,"flj43934"
14,"ck ii alpha'"
14,"otthump00000164724"
14,"casein kinase ii subunit alpha'"
15,"dual serine/threonine and tyrosine protein kinase"
15,"dstyk"
15,"hdcmd38p"
15,"dustypk"
15,"kiaa0472"
15,"rip5"
15,"ripk5"
15,"otthump00000035175"
15,"otthump00000035299"
15,"rip homologous kinase"
15,"dusty pk"
15,"dusty protein kinase"
15,"receptor interacting protein 5"
15,"receptor interacting protein kinase 5"
15,"receptor interacting serine/threonine protein kinase 5"
15,"sgk496"
15,"sugen kinase 496"
16,"eukaryotic translation initiation factor 2 alpha kinase 1"
16,"eif2ak1"
16,"pro1362"
16,"hcr"
16,"hri"
16,"kiaa1369"
16,"otthump00000115857"
16,"heme regulated initiation factor 2 alpha kinase"
16,"heme sensitive initiation factor 2a kinase"
16,"heme controlled repressor"
16,"heme regulated eukaryotic initiation factor eif 2 alpha kinase"
16,"heme regulated inhibitor"
16,"heme regulated initiation factor 2 alpha kinase"
16,"heme regulated repressor"
16,"hemin sensitive initiation factor 2 alpha kinase"
17,"eukaryotic translation initiation factor 2 alpha kinase 2"
17,"eif2ak2"
17,"mgc126524"
17,"pkr"
17,"prkr"
17,"otthump00000126954"
17,"otthump00000201320"
17,"p1/eif 2a protein kinase"
17,"double stranded rna activated protein kinase"
17,"eif 2a protein kinase 2"
17,"interferon induced, double stranded rna activated protein kinase"
17,"interferon inducible rna dependent protein kinase"
17,"interferon inducible elf2alpha kinase"
17,"p68 kinase"
17,"protein kinase rna activated"
17,"protein kinase, interferon inducible double stranded rna dependent"
18,"eukaryotic translation initiation factor 2 alpha kinase 3"
