id,title,authors,date,link,text
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,"SAN JOSE CHIAPA, Mexico  (Reuters) - The automotive industry's growing love affair with Mexico was celebrated here on Saturday as Audi executives laid the foundation stone for its first assembly plant in the Americas.   Volkswagen AG's ( VOWG_p.DE ) premium brand is joining a parade of automakers who have announced plans to build cars in a country that is seen as a doorway not only to the rest of North and South America but to the world. Audi officials said the $1.3 billion plant will open in three years and eventually be the German brand's only source globally for its Q5 SUVs after it opens in mid-2016. ""Mexico was chosen very deliberately,"" Audi Chairman Rupert Stadler told more than 500 industry and government officials outside the town of San Jose Chiapa in central Mexico. ""It is situated between North and South America, making it a linchpin between the two regions."" He added that Mexico was an ""ideal export base."" With numerous free trade agreements, a cheap, well-educated labor force, and proximity to the lucrative U.S. auto market, combined with growing demand in South America, automakers have been lining up for two years to set up shop in a country that could eventually overtake Brazil as Latin America's biggest economy. Audi's ceremony came two days after Japanese automaker Honda Motor Co ( 7267.T ) said it would build a $470 million transmission plant in the central state of Guanajuato, near an $800 million assembly plant that is expected to begin operations in February 2014. Other automakers who have announced plans to open plants in Mexico include Mazda Motor Co ( 7261.T ) and Nissan Motor Co( 7201.T ), while companies already there - General Motors Co ( GM.N ) and Ford Motor Co ( F.N ) - continue to pump hundreds of millions into their plants. The new plants also are attracting supplier factories and more could be on the way as Nissan's Infiniti brand, BMW ( BMWG.DE ) and Hyundai ( 005380.KS ) are weighing the possibility of building plants in North America. When Nissan said in January 2012 that it would build a $2 billion plant in the central state of Aguascalientes to open in late 2013, CEO Carlos Ghosn called Mexico, where it has now two plants and is the market leader in sales, production and exports, a ""key engine"" to Nissan's growth in the Americas. The Japanese automaker exports to 115 countries from Mexico. Last year, Mexico attracted $3.7 billion in announced investments by automakers alone, matching the U.S. total, according to the Center for Automotive Research in Ann Arbor, Michigan. IHS Automotive estimated that investments by automakers in Mexico over the next few years could total $3 billion annually. From 2000 to 2013, vehicle production in Mexico has risen almost 3 percent annually, compared with declines in the United States and Canada of 1.3 percent and 2.4 percent, respectively, according to Boston Consulting Group. That trend will hold through 2018 as Mexico's production is forecast to grow 5 percent annually, compared with 3 percent growth in the United States and a 4 percent decline in Canada. Mexico is the eighth largest producer of vehicles in the world. Audi executives touted Mexico's good infrastructure, competitive cost structures and existing free-trade agreements in picking the site for the new plant, which will cover an area the size of 400 soccer fields. They called the Mexian plant a ""dream moment."" VW has a VW plant in nearby Puebla City and an engine plant in Silao. VW has said it wants to boost sales in the United States, the world's No. 2 auto market, to 1 million vehicles by 2018, including 200,000 from Audi. It is the same time frame in which VW has pledged to become the world's largest automaker. Last year, VW's U.S. sales totaled more than 577,000, including 139,310 for Audi. The new plant in Mexico is also part of the automaker's plan for Audi to reach annual global sales of more than 2 million by 2020 with the aim of snatching the luxury crown from BMW globally as well as challenging its luxury rival and Daimler's ( DAIGn.DE ) Mercedes-Benz in the U.S. market. BMW and Mercedes have had production footprints in North America since the 1990s and each sell about twice as many cars in the United States as Audi. Access to the lucrative U.S. market isn't the only draw though as Mexico has 12 free trade agreements with 44 countries, while the United States' 14 trade deals cover only 20 countries. Xavier Mosquet, leader of Boston Consulting Group's automotive practice, said Mexico was the ""better choice"" over the United States for exporting to the rest of Latin America. Also in Mexico's favor are the rising labor costs in China, lower transportation costs and even Mexico's own growing economy, industry officials and analysts said. In 2010, Mexico's total compensation per worker was $3.94 an hour, said Kristin Dziczek, director of labor and industry at the Center for Automotive Research, citing Bureau of Labor Statistics data. That compared with $3.45 in China, $34.59 in the United States and $52.60 in Germany. And the Mexican work force is increasingly well educated. Audi officials say 2,500 applicants, many with degrees, have expressed interest in the 3,800 jobs they will have at the San Jose Chiapa plant and they haven't even advertised the jobs yet. Nomura said last August that Mexico could overtake Brazil as Latin America's top economy as early as 2022. Mexico's annual economic growth is projected to increase 4.5 percent in that period, up from 2.1 percent annual growth from 2002 to 2010. Mexico also serves as a natural hedge for many foreign automakers against stronger currencies at home or disasters like the tsunami in 2011 that hurt the Japanese automakers, IHS analyst Guido Vildozo said. ""It's probably one of the reasons why you're hearing that some of the other automakers are also kicking the tires,"" he said. (Reporting by Ben Klayman in Puebla, Mexico; editing by Gunna Dickson)"
USBRE9430B420130504,Warren Buffett says son Howard qualified to be nonexecutive chairman,,"Sat May 4, 2013 4:00pm EDT",http://www.reuters.com/article/2013/05/04/us-berkshire-agm-chairman-idUSBRE9430B420130504,"OMAHA, Nebraska  (Reuters) - Warren Buffett's son, Howard, will take over as Berkshire Hathaway Inc's nonexecutive chairman someday in order to ensure that Berkshire has the right chief executive in place, the elder Buffett said on Saturday.   Warren Buffett has said in the past that Howard would assume that role when his father was no longer running Berkshire. The ""Oracle of Omaha"" said Saturday that Howard would take that role primarily ""in case a mistake is made"" in picking a CEO. (Reporting by Jonathan Stempel and  Jennifer Ablan ; editing by  Matthew Lewis )"
USBRE94307H20130504,Buffett maps out hopes for Berkshire without him,athan Stempel and  Jennifer Ablan,"Sat May 4, 2013 6:34pm EDT",http://www.reuters.com/article/2013/05/04/us-berkshire-agm-idUSBRE94307H20130504,"OMAHA, Nebraska  (Reuters) - Warren Buffett on Saturday gave the most extensive comments to date about the future of Berkshire Hathaway Inc after he is gone, saying he still expects the conglomerate to be a partner of choice for distressed companies.   Buffett, 82, also defended his plan to install his son, Howard, who has little investing experience, as nonexecutive chairman, saying the younger man's role would be to ensure that Berkshire had the right CEO in place. During the financial crisis and its immediate aftermath, Berkshire helped prop up a number of companies, among them blue-chips such as General Electric and Goldman Sachs. Buffett's investments were viewed by many shareholders as a seal of approval from one of the world's most respected businessmen. Short-seller Doug Kass, invited by Buffett to Berkshire's annual meeting on Saturday to offer contrarian points of view, asked whether a successor would have the same heft. Buffett said it would not matter. ""Berkshire is the 800 number when there is really some panic in the markets, and people really need significant capital,"" Buffett said. ""If you come to a day when the Dow has fallen 1,000 points a day for a few days and the tide has gone out and you find some naked swimmers, those naked swimmers ... will call Berkshire,"" he added. Whoever ultimately takes over Berkshire will run a conglomerate that employs more than 280,000 people in dozens of businesses worldwide, covering everything from ice cream to insurance and retail to railroads. Kass later asked what qualified Howard Buffett, a 58-year-old farmer and philanthropist, to step in as Berkshire's non-executive chairman when his father is gone. The elder Buffett insisted his son was ideal for the task at hand. ""He has no illusions at all of running the business. He won't get paid for running the business,"" Warren Buffett said. ""He'll only have to think about whether the board ... needs to change the CEO."" As in the past, Buffett talked about his successor as CEO without actually identifying him. Speculation usually focuses on a small group of top Berkshire executives, among them insurance boss Ajit Jain and railroad leader Matt Rose. One long-time Buffett-watcher said the legendary investor seemed to handle the pressure from Kass and others well. ""Buffett hasn't broken much new ground, but he's handled Doug's question well ... and, as always, reinforced the Berkshire culture every chance he's had,"" said Jeff Matthews, founder of hedge fund Ram Partners LP and a Buffett biographer. ECONOMIC INDICATOR Berkshire's breadth means that its performance is seen as a barometer for the broader economy. On Saturday, Buffett said he still stands by the actions taken by the U.S. Federal Reserve to stimulate the economy, even as he cautioned that the program could be ""very inflationary."" ""This is like watching a good movie, and I do not know the end,"" he said. ""We have benefited significantly, and the country has benefited significantly, by what the Fed has done."" Buffett also endorsed the last four years of deficit spending by President Barack Obama's administration, saying it is a problem to get off that program but much less of a problem than if the government had followed a strict austerity program instead. ""We are seeing some recovery in housing prices which has psychological effects,"" he said. ""(By the next annual meeting) I think we will have moved forward ... I don't think there will be a surge of any sort, but I don't think we will stall."" Earlier Saturday, one of Buffett's top lieutenants said things were picking up but could improve further. ""It feels like a 2 percent economy. If we want to see GDP click up to 3.5 percent, 4 percent, you need to see more consumption,"" said Rose, CEO of the railroad Burlington Northern, in an interview. Rose said Burlington Northern was seeing ""across the board"" increases in demand to ship things like concrete, roofing tiles and cars. NO TWITTER, THANK YOU Buffett may be optimistic about the economy, but he is decidedly more cautious about technology. Earlier this week he joined Twitter, taking the handle @WarrenBuffett - but insisted he only knew enough about it to press a button when told to. On Saturday he said he disagreed with the recent guidance from the U.S. Securities & Exchange Commission that lets companies release material information on Twitter. Some see that as a threat to Berkshire's press release service, Business Wire. ""The key to disclosure is accuracy and simultaneity ... I do not want it, if I am buying Wells Fargo, to keep hitting up their web page and hoping I'm not 10 seconds behind someone else for some important announcement,"" he said. He also stuck by one of Berkshire's more controversial investments, its recent acquisition of a number of newspapers. The annual meeting crowd applauded when CNBC anchor Andrew Ross Sorkin asked a critical question about the stable of papers. ""It's not going to move the needle in Berkshire ... we are buying the papers at very, very low prices with (regard to) current earnings,"" Buffett said, adding that he expected to meet or beat a 10 percent rate of return, after-tax. Yet as much as investors want to hear about Berkshire's growth potential and the state of the economy, some also attend the meeting just for a good laugh. The meeting opened, as it does every year, with a video montage. This year's included a duet between Buffett and singer Jon Bon Jovi and a take-off on the TV series ""Breaking Bad."" Some of the best comedy, though, usually comes in the verbal sparring between Buffett and Vice Chairman Charlie Munger over the course of the day. The two are close - they shared an oversize box of peanut brittle during the meeting - but Munger's acerbic tongue pops out from time to time. ""I come to see Charlie Munger needle Warren Buffett - only he can,"" said Sherman Silber, a doctor and shareholder. (Writing by  Ben Berkowitz ; editing by  Bob Burgdorfer  and  Matthew Lewis )"
USBRE94308B20130504,Berkshire Hathaway's annual meeting of shareholders,,"Sat May 4, 2013 4:40pm EDT",http://www.reuters.com/article/2013/05/04/us-berkshire-agm-quotes-idUSBRE94308B20130504,"OMAHA, Nebraska  (Reuters) - More than 35,000 people descended on Omaha, Nebraska, on Saturday for the annual shareholder meeting of Warren Buffett's ice cream-to-insurance conglomerate, Berkshire Hathaway Inc.   Following are selected comments by Buffett, Vice Chairman Charlie Munger and other Berkshire executives on a broad range of topics: BUFFETT ON HIS SON HOWARD'S QUALIFICATIONS TO BE NONEXECUTIVE CHAIRMAN AFTER THE ELDER BUFFETT IS NO LONGER RUNNING THE FIRM: Buffet says Howard is taking the role ""in case a mistake is made"" in choosing a CEO, the odds of which are ""less than 1 in 100. ""He has no illusions at all of running the business. He won't get paid for running the business. ""He'll only have to think about whether the board ... needs to change the CEO. ... I know of nobody who will feel that responsibility more as to doing that job responsibly as my son Howard."" BUFFETT ON DEFICIT SPENDING: ""The amount of deficit spending in the last four years, the amount of stimulus provided ... I think has been quite appropriate in relation to the threat to the economy that was posed by the greatest panic in my lifetime. ""The question is, how do you get off that."" BUFFETT ON ECONOMIC RECOVERY: ""We are seeing some recovery in housing prices which has psychological effects. ""(By the next annual meeting) I think we will have moved forward ... I don't think there will be a surge of any sort, but I don't think we will stall."" BUFFETT ON HIS FUTURE: ""There's nothing more fun for me than to find something to add to Berkshire. ""I hope it's true 10 years from now."" BUFFETT, ON ASSET BUBBLES: ""I do not worry about the banking system being the cause of the next bubble."" MUNGER, IN RESPONSE TO BUFFETT: ""I am less optimistic about the banking system than you are long-term."" BUFFETT, ON WHY HE WOULD NOT BUY AN AIRLINE: ""It's a labor-intensive, capital-intensive, largely commodity-type business, and it has been, as (Legg Mason's) Bill Miller points out, a death trap for investors since Orville (Wright) took off."" BUFFETT AND MUNGER ON SHORT-SELLING: Buffett: ""Charlie and I are no strangers to short selling. We both failed it."" Munger: ""We don't like trading agony for money."" BUFFETT, ON WHETHER HIS SUCCESSOR'S STAMP OF APPROVAL WILL BE AS VALUABLE AS HIS OWN: ""Berkshire is the 800 number when there is really some panic in the markets, and people really need significant capital. ""If you come to a day when the Dow has fallen 1,000 points a day for a few days and the tide has gone out and you find some naked swimmers, those naked swimmers ... will call Berkshire."" BUFFETT, ON BERKSHIRE'S NEWSPAPER INVESTMENTS: ""We will get a decent rate of return. Our after-tax return, with declining earnings, which I expect, would be at least 10 percent average ... and I think it could be somewhat higher. ""Everything we have seen to date, and we have a number of papers now, indicates we would meet or beat the 10 percent. It's not going to move the needle in Berkshire ... we are buying the papers at very, very low prices with (regard to) current earnings."" BUFFETT, ON U.S. FEDERAL RESERVE ACTIONS TO STIMULATE THE ECONOMY: ""We're in uncharted territory. The Fed's balance sheet is around $3.4 trillion now, and that's a lot of securities. ""Banks' reserve positions are incredible; Wells Fargo has $175 billion sitting at the Fed earning 0.25 percent. There's all this liquidity that has been created, and it hasn't really hit the market because the banks have let it sit there. ""This is like watching a good movie, and I do not know the end. ""We have benefited significantly, and the country has benefited significantly, by what the Fed has done."" BUFFETT, ON INVESTMENT MANAGERS TODD COMBS AND TED WESCHLER: ""I gave them each $1 billion (to manage) on March 31. We thought they deserved the trust we had when we hired them, and we believe that more than ever."" MUNGER, ASKED HOW TO EXPLAIN BERKSHIRE TO A 13-YEAR-OLD IN TWO MINUTES: ""We always tried to stay sane when other people, a lot of them, go crazy. That's a competitive advantage. ""We want to treat subsidiaries the way we would want (to be treated). You try to be a good partner. ""We are leaving behind a field that is very competitive, and we're getting to a place where we are more unusual. This was a very good idea. I wish we had done it on purpose."" BUFFETT, RESPONDING TO SHORT-SELLER DOUG KASS ON WHETHER BERKSHIRE HAS GROWN TOO BIG TO OUTPERFORM THE MARKET: ""There's no question that we cannot do as well as in the past, and size does matter. In terms of the acquisitions we've made in the last five years, we think we've done pretty well. ""You haven't convinced me to sell the stock yet, Doug."" MUNGER, ON THE SAME QUESTION: ""You look at companies that got really big in the world, the record is not very good. We think we'll do a little better than the giants in the past. Maybe we have a better system."" BUFFETT (@WARRENBUFFETT) ON USING TWITTER TO DISCLOSE MATERIAL FINANCIAL INFORMATION: ""The key to disclosure is accuracy and simultaneity ... I do not want it, if I am buying Wells Fargo, to keep hitting up their Web page and hoping I'm not 10 seconds behind someone else for some important announcement."" BUFFETT ON HOW SOCIAL MEDIA HAS IMPACTED BERKSHIRE'S BUSINESSES: ""At a place like Geico it makes a difference and over time it will make a huge difference. We have to listen to our customers. I've been amazed at how the world has changed."" BUFFETT ON GROWING IN COMMERCIAL INSURANCE ""I think you will see Berkshire become a very significant factor in commercial insurance."" He added that the business's size could ultimately be ""a fair number of billions."" BUFFETT ON BERKSHIRE'S NEXT CEO: ""The key is preserving a culture and having a successor, a CEO that will have more brains, more energy, more passion for it than even I have ... We're solidly in agreement as to who that individual should be."" MUNGER ON BERKSHIRE'S RETURNS: ""I don't pay attention to five years, three years in terms of annual gains because our past returns were almost unbelievable. We are slowing down a little bit but still pleasant."" BUFFETT ON BERKSHIRE'S SIZE: ""We are now the fifth-most valuable company in the world."" BURLINGTON NORTHERN CEO MATT ROSE, ON THE ECONOMY: ""It feels like a 2 percent economy. If we want to see GDP click up to 3.5 percent, 4 percent, you need to see more consumption. ""Long-term the question is how the Fed makes the transition from QE to backing out of the market. That's the million-dollar question."" (Reporting by Jonathan Stempel and  Jennifer Ablan ; writing by  Ben Berkowitz ; editing by  Matthew Lewis  and  Bob Burgdorfer )"
USBRE9420YT20130504,"Berkshire profit rises 51 percent, shares at record high",athan Stempel and  Jennifer Ablan,"Sat May 4, 2013 3:39am EDT",http://www.reuters.com/article/2013/05/04/us-berkshire-results-idUSBRE9420YT20130504,"OMAHA, Nebraska  (Reuters) - Warren Buffett's Berkshire Hathaway Inc on Friday said quarterly profit rose nearly 51 percent on a solid performance in insurance and by many of its other businesses, as well as gains from investments and derivatives.   The results topped expectations and were released after Berkshire shares closed at a record high. Berkshire's more than 80 businesses are benefiting from a strengthening economy, as illustrated by increased traffic on its Burlington Northern railroad unit, new customers for its McLane food distribution business, and stepped-up demand for its Forest River recreational vehicles, to name just a few. Profit from insurance operations, including the Geico car insurance unit and a business that provides protection against major catastrophes, roughly doubled. ""The happy fact right now is that the growth areas in the economy are right in Berkshire's wheelhouse,"" said Jeff Matthews, founder of the RAM Partners LP hedge fund and author of ""Pilgrimage to Warren Buffett's Omaha."" Berkshire released its results a day before Buffett and Berkshire Vice Chairman Charlie Munger will field five hours of shareholder questions at the company's annual meeting in its hometown of Omaha, Nebraska. PROFIT TOPS FORECASTS Net income increased to $4.89 billion, or $2,977 per Class A share, from $3.25 billion, or $1,966 per share, a year earlier. Quarterly operating profit rose 42 percent to $3.78 billion, or $2,302 per share, from $2.67 billion, or $1,615 per share. Analysts on average expected profit of $1,996 per share, according to Thomson Reuters I/B/E/S. Book value per share, Buffett's preferred measure of growth, increased 5.5 percent from year end to $120,525 per Class A share, and Berkshire's cash stake grew over that period to $49.09 billion from $46.99 billion. About $12.1 billion is being used to fund a purchase by Berkshire and Brazilian investment firm 3G Capital of ketchup maker H.J. Heinz Co. Revenue rose 15 percent from a year ago to $43.87 billion. INSURANCE GAINS Operating profit from insurance operations rose to $1.7 billion from $845 million. Nearly all the improvement came from underwriting, where profit rose to $901 million from $54 million, in part because of a $255 million pre-tax reinsurance gain, as well as currency fluctuations. Underwriting profit at Geico more than doubled. ""The backbone of Berkshire is its world class collection of insurance companies,"" said David Rolfe, chief investment officer at Wedgewood Partners Inc, which invests 6.5 percent of its $4 billion of assets in Berkshire stock. Operating profit from noninsurance business rose 12 percent to $2.25 billion. This included increases of 14 percent at Burlington Northern to $798 million, and a little over 10 percent from manufacturing, service and retail operations to $944 million. Profit generated by MidAmerican Energy, a utility unit that Berkshire owns most of, rose 17 percent to $394 million. Investment and derivatives gains nearly doubled to $1.11 billion, in part because of gains related to Berkshire's warrants for General Electric Co and Goldman Sachs Group Inc . Berkshire also owns tens of billions of dollars of common stocks such as Coca-Cola Co, International Business Machines Corp and Wells Fargo & Co. Gains from derivatives increased 20 percent before taxes, mainly because of Berkshire's long-term contracts related to performance in stock indexes such as the Standard & Poor's 500, which rose 10 percent in the first quarter. Investors are used to that volatility, and Berkshire accepts it as part of its focus on the long term. ""If we cope well every day with what's on our desk, the future will take care of itself,"" Munger said in an interview on Friday. In Friday trading, Berkshire Class A shares closed up $1,993, or 1.2 percent, at $162,850. Its Class B shares closed up $1.34, or 1.2 percent, at $108.64. (Reporting by Jonathan Stempel and Jennifer Ablan in Omaha, Nebraska; Editing by  Bob Burgdorfer )"
USBRE94301520130504,Credit Suisse says ex-VP stole trade secrets in move to Goldman,ry Baynes,"Fri May 3, 2013 9:01pm EDT",http://www.reuters.com/article/2013/05/04/us-creditsuisse-goldman-idUSBRE94301520130504,"(Reuters) - Credit Suisse Group AG ( CSGN.VX ) sued the former vice president of its emerging markets group on Friday, claiming she stole confidential documents and trade secrets to transfer business to her new employer, Goldman Sachs Group Inc ( GS.N ).   In a complaint filed in Manhattan state court, Credit Suisse said Agostina Pechi sent confidential and highly sensitive company documents to her personal email account in the months leading up to her resignation, including databases, client contact information and sales team targets. The Swiss bank also accused her of conducting an ""after-hours document raid"" when she was scheduled to be on vacation in which she allegedly copied transaction documents related to a longtime Credit Suisse client. After Pechi resigned on April 2 and told the human resources department she was accepting a new position with rival Goldman Sachs, Credit Suisse launched an investigation into her departure and found 60 work emails in her personal account, according to the filing. The next day, those emails had been deleted and could not be recovered, the complaint said. ""Upon information and belief, Pechi intends to use confidential Credit Suisse information to compete with Credit Suisse, and intends to provide this information to her new employer to specifically target Credit Suisse's clients,"" the complaint said. Michael DuVally, a Goldman Sachs spokesman, declined to comment. A lawyer for Pechi could not immediately be located. Credit Suisse is seeking a temporary restraining order, barring Pechi for 30 days from seeking business from the company's clients. In addition, it asked the court to order Pechi to return all confidential Credit Suisse information and trade secrets. Under her employment agreement, Pechi agreed to resolve any employment-related disputes in arbitration. In its court filing, Credit Suisse said it would pursue expedited mediation, and, if that fails, arbitration. But a court order was needed to prevent Credit Suisse from being harmed in the interim, the company said. The case is Credit Suisse Securities (USA) LLC v. Pechi, New York Supreme Court, No. 651617-2013. (Reporting by Terry Baynes in New York; Editing by  Eric Walsh )"
USBRE94306P20130504,Dubai aims to triple tourism income by 2020,tt Smith,"Sat May 4, 2013 11:34am EDT",http://www.reuters.com/article/2013/05/04/us-dubai-tourism-idUSBRE94306P20130504,"DUBAI  (Reuters) - Dubai aims to triple its annual income from tourism to 300 billion dirhams ($82 billion) by 2020, which would involve doubling the number of its hotel rooms, a senior official said.   Tourism is crucial to Dubai's economy, which had a gross domestic product of around $90 billion last year; it supports the emirate's large retail industry as well as its hospitality sector. Occupancy at Dubai's 599 hotels, which have 80,500 rooms combined, was 78 percent in 2012 as the number of visitors rose 9.3 percent from a year ago to 10.16 million, according to data from the Department of Tourism and Commerce Marketing (DTCM). Helal Almarri, director-general of the DTCM, told Reuters that the emirate was likely to have more than 160,000 hotel rooms by the end of the decade and aimed to attract 20 million tourists annually by then. Most decisions to build hotels would not be made by the Dubai government but by private companies. However, the Dubai government is active in supporting growth of the industry by providing infrastructure, marketing the emirate overseas, adjusting visa policies for visitors and expanding the network of the state-owned Emirates airline. Saudi Arabia, India and Russia will be the main contributors to expected growth in tourist numbers, Almarri told Reuters. ""With Emirates airline and other carriers we focus very much on extending the routes to those markets,"" he said. Dubai's main airport handled 5.85 million passengers in March, up 20.6 percent from a year earlier, according to airport authorities. ""Airport capacity is not on our critical list of issues to worry about,"" said Almarri. ""We can easily put on more flights at any time."" Dubai is pressing ahead with a $7.8 billion plan to expand Dubai International Airport, and plans eventually to migrate traffic to an even bigger facility. MIX OF HOTELS Traditionally, Dubai has been known for five-star hotels, but more budget hotels have been built in the last few years, appealing to a wider tourist base. Almarri acknowledged this was an important trend. ""The importance in our growth is to have a mix of hotels,"" he said. ""Over the last five years the hotel offering in Dubai has become more diversified."" At present, hotel guests stay for an average of 3.76 nights; hotel revenue was $5.13 billion in 2012. Almarri said that to help increase the average length of stay, Dubai would build more entertainment facilities. Plans for several theme parks have been announced in the last few months by companies backed by the government or Dubai's ruling family. ""I have every confidence that we will have over the next three to four years coming on line a significant number of tourist attractions which are purely entertainment-like theme parks,"" said Almarri. Having been forced to provision heavily for bad loans following the collapse of Dubai's real estate market in 2008-2011, banks have become more prudent about financing large-scale projects. Almarri said the theme parks would be funded largely through public-private partnerships. ""Theme parks are procured rather than built in many cases, so come with their own financing packages - the rides are built elsewhere, so you will probably find that many governments around the world are encouraging exports,"" he said. ($1 = 3.6730 UAE dirhams) (Editing by  Andrew Torchia )"
USBRE94305C20130504,Former Finmeccanica chief released from jail,,"Sat May 4, 2013 9:45am EDT",http://www.reuters.com/article/2013/05/04/us-finmeccanica-idUSBRE94305C20130504,"MILAN  (Reuters) - Former Finmeccanica ( SIFI.MI ) Chairman and CEO Giuseppe Orsi, who faces a trial in June over allegations of corruption in a helicopter deal with India, was released from jail on Saturday, his lawyer said.   Orsi was arrested on February 12 on a warrant alleging he paid bribes to win a 560 million euro ($727 million) contract to sell helicopters to India in 2010, when he was at the helm of Finmeccanica's helicopter unit AgustaWestland. Orsi, who resigned from the state-owned aerospace and defense group a few days after his arrest, denies any wrongdoing. He was released from jail because the terms that allowed prosecutors to keep him in custody ahead of a trial had expired. Orsi's trial will begin on June 19 after a judge ruled on Friday that there was enough evidence for a procedure to start immediately, legal sources close to the case told Reuters. In an e-mailed statement, Orsi's lawyer Ennio Amodio said on Saturday that his client had sought to bring order and transparency to a company hit by internal power struggles, and that he was confident truth would prevail at the trial. (Reporting By  Silvia Aloisi ; editing by  James Jukwey )"
USBRE94304F20130504,EU's Barnier calls on France to pursue economic reforms,,"Sat May 4, 2013 11:03am EDT",http://www.reuters.com/article/2013/05/04/us-france-deficit-barnier-idUSBRE94304F20130504,"PARIS  (Reuters) - European Union Internal Market Commissioner Michel Barnier, the EU's top financial regulator, called on the French government to pursue its planned reforms despite the Commission allowing two more years to meet its budget deficit target.   Olli Rehn, the European monetary affairs commissioner, said on Friday France badly needed to unlock its growth potential and create jobs, adding Spain, Italy and the Netherlands as well as France - four of the euro zone's five largest economies - would remain in recession this year. France - which restated on Friday it would bring the deficit below 3 percent in 2014, only one year later than the original deadline - must pursue its retirement and labor reforms to boost its competitiveness and to overcome its unemployment crisis, Barnier said. ""It's a moment of truth for the government which needs to have the political courage to carry out those reforms which will sometimes not be understood, and require effort,"" he told French radio Europe 1 in an interview. German Finance Minister Wolfgang Schaeuble said the EU's decision was in line with the strengthened stability and growth pact because it allowed flexibility in meeting deficit targets. ""But the commission also said, and that's very important, that with (the extension) come clear requirements for necessary reforms,"" he told Bild am Sonntag newspaper to be published on Sunday. ""The commission and the German government agree entirely that we can't slow down in terms of reforms,"" Schaeuble added. EU finance ministers had given France until this year to bring down its budget shortfall below 3 percent of GDP and set the deadline for Spain for 2014. But while France expects its economy to expand by 0.1 percent this year, the European Commission forecast a 0.1 percent contraction. Granting more time is a victory for French President Francois Hollande, who won elections promising a focus on growth and less on austerity but has little to show for his economic policies after a year in office. (Reporting by Yves Clarisse and  Annika Breidthardt ; writing by Muriel Boselli; editing by  James Jukwey )"
USBRE9430AJ20130504,France spurns call to take over Saint-Nazaire shipyard,,"Sat May 4, 2013 3:04pm EDT",http://www.reuters.com/article/2013/05/04/us-france-saint-nazaire-shipyard-idUSBRE9430AJ20130504,"PARIS  (Reuters) - France's government dismissed a call to nationalize the Saint-Nazaire shipyard on Saturday but said it was committed to the survival of the facility after a South Korean shareholder threatened to sell its stake.   The Korean company, STX Offshore & Shipbuilding ( 067250.KS ), has been hurt by a shipping industry downturn since the financial crisis and may also sell shipyards in Finland and China. The French government came to Saint-Nazaire's rescue at the end of 2012, helping it win new contracts to stave off the threat of bankruptcy, including a 1 billion euro ($1.31 billion) contract to build the world's largest cruise liner. It is faring better today but, since STX's announcement on Friday, unions have been calling for the state to nationalize the shipyard on France's Atlantic coast, one of Europe's largest and a symbol of French industrial prestige. The government already holds 33 percent of STX France, the company that owns and operates the Saint-Nazaire site. President Francois Hollande does not want another manufacturing failure on his hands as he struggles a year into his term to make good on a campaign pledge to pull French industry out of the doldrums. In a joint statement, French industry and finance ministers dismissed talk that Saint-Nazaire and the jobs of its 2,000 employees were under threat and said the government would continue to support its development. ""STX France has strengthened its business in the past few months, thanks to winning big contracts, in particular on the export side,"" the ministers said. ""Saint-Nazaire is therefore not threatened at all by the events in South Korea."" Saint-Nazaire will begin building a cruise ship in September for Royal Caribbean Cruise Line, to be delivered in 2016. Industry Minister Arnaud Montebourg told French daily Le Monde that nationalizing the site would serve no purpose. ""The Saint-Nazaire shipyard needs more orders, not a new shareholder, because the site is working well,"" Montebourg said. ""We met the conditions in December 2012 to land an order for a giant liner and we continue to work to ensure the long-term future of the site."" The yard built famous cruise liners such as the Queen Mary 2, commissioned in the early 2000s to sail between Europe and the United States. (Reporting By Muriel Boselli; Editing by  Tom Pfeiffer )"
