id,title,authors,date,link,sentence_no,text
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,0,"SAN JOSE CHIAPA, Mexico  (Reuters) - The automotive industry's growing love affair with Mexico was celebrated here on Saturday as Audi executives laid the foundation stone for its first assembly plant in the Americas."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,1,Volkswagen AG's ( VOWG_p.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,2,DE ) premium brand is joining a parade of automakers who have announced plans to build cars in a country that is seen as a doorway not only to the rest of North and South America but to the world.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,3,Audi officials said the $1.3 billion plant will open in three years and eventually be the German brand's only source globally for its Q5 SUVs after it opens in mid-2016.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,4,"""Mexico was chosen very deliberately,"" Audi Chairman Rupert Stadler told more than 500 industry and government officials outside the town of San Jose Chiapa in central Mexico."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,5,"""It is situated between North and South America, making it a linchpin between the two regions."""
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,6,"He added that Mexico was an ""ideal export base."""
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,7,"With numerous free trade agreements, a cheap, well-educated labor force, and proximity to the lucrative U.S. auto market, combined with growing demand in South America, automakers have been lining up for two years to set up shop in a country that could eventually overtake Brazil as Latin America's biggest economy."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,8,Audi's ceremony came two days after Japanese automaker Honda Motor Co ( 7267.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,9,"T ) said it would build a $470 million transmission plant in the central state of Guanajuato, near an $800 million assembly plant that is expected to begin operations in February 2014."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,10,Other automakers who have announced plans to open plants in Mexico include Mazda Motor Co ( 7261.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,11,T ) and Nissan Motor Co( 7201.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,12,"T ), while companies already there - General Motors Co ( GM.N ) and Ford Motor Co ( F.N ) - continue to pump hundreds of millions into their plants."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,13,"The new plants also are attracting supplier factories and more could be on the way as Nissan's Infiniti brand, BMW ( BMWG.DE ) and Hyundai ( 005380."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,14,KS ) are weighing the possibility of building plants in North America.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,15,"When Nissan said in January 2012 that it would build a $2 billion plant in the central state of Aguascalientes to open in late 2013, CEO Carlos Ghosn called Mexico, where it has now two plants and is the market leader in sales, production and exports, a ""key engine"" to Nissan's growth in the Americas."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,16,The Japanese automaker exports to 115 countries from Mexico.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,17,"Last year, Mexico attracted $3.7 billion in announced investments by automakers alone, matching the U.S. total, according to the Center for Automotive Research in Ann Arbor, Michigan."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,18,IHS Automotive estimated that investments by automakers in Mexico over the next few years could total $3 billion annually.
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,19,"From 2000 to 2013, vehicle production in Mexico has risen almost 3 percent annually, compared with declines in the United States and Canada of 1.3 percent and 2.4 percent, respectively, according to Boston Consulting Group."
USBRE9430D220130504,Auto industry love for Mexico grows with new Audi plant,n Klayman,"Sat May 4, 2013 6:54pm EDT",http://www.reuters.com/article/2013/05/04/us-audi-mexico-idUSBRE9430D220130504,20,"That trend will hold through 2018 as Mexico's production is forecast to grow 5 percent annually, compared with 3 percent growth in the United States and a 4 percent decline in Canada."
